interno_ime,smucisce,drzava,nadmorska_visina,km_prog,karta,valuta
westernberg-ruhpolding,Westernberg / Ruhpolding,DE,670 - 750,1,n/a,n/a
kolorowa,Kolorowa,PL,620 - 684,0,n/a,n/a
fahrenberg-vohenstrauss,Fahrenberg - Vohenstrauß,DE,660 - 800,2,n/a,n/a
oberhof,Oberhof / Fallbachlift,DE,720 - 842,1.3,"28,00",€
hermsdorf-erzgebirge,Hermsdorf / Erzgebirge,DE,660 - 805,1,n/a,n/a
salmendingen,Salmendingen,DE,858 - 889,1.3,n/a,n/a
janina,Janina,SI,248 - 362,0.4,n/a,n/a
vysoka-u-havlickova-brodu,Vysoká u Havlíčkova Brodu,CZ,494 - 587,0.6,n/a,n/a
gace,SC Gače,SI,680 - 965,8,"30,00",€
policka,Polička - Liboháj,CZ,573 - 620,0.4,n/a,n/a
